App;RED;Type;Latitud;Longitud;Fecha Hora Inicio;Fecha Hora Fin;Estado;Causa de falla;Tamanio de archivo (MB)
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:03:51;2025-06-09 16:03:55;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:04:07;2025-06-09 16:04:09;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:04:12;2025-06-09 16:04:14;exitoso;;1.9M
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 16:04:18;2025-06-09 16:04:22;exitoso;;25.58 MB
FB;WIFI;Envio de documento;-17.3763216;-66.156801;2025-06-09 16:04:26;2025-06-09 16:04:29;exitoso;;1.27 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:12:15;2025-06-09 16:12:16;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:12:34;2025-06-09 16:12:39;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:12:51;2025-06-09 16:12:53;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:12:56;2025-06-09 16:13:00;exitoso;;0 MB
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 16:13:04;2025-06-09 16:13:08;exitoso;;25.58 MB
FB;WIFI;Envio de documento;-17.3763216;-66.156801;2025-06-09 16:13:11;2025-06-09 16:13:15;exitoso;;1.27 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:14:04;2025-06-09 16:14:05;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:14:21;2025-06-09 16:14:25;exitoso;;2 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:14:36;2025-06-09 16:14:38;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:14:54;2025-06-09 16:14:57;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:15:10;2025-06-09 16:15:12;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:15:14;2025-06-09 16:15:17;exitoso;;0 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:16:00;2025-06-09 16:16:02;exitoso;;
